"","Country","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan",18059.0705010631,18691.1978252174,18684.2477273375,18701.239473628,18013.5271641827,17792.3926735897,17364.7055372832,15557.5453614462,16306.8402706905,15807.1864870866,16234.6211658492,15294.3493625964,15370.3645764363,16227.1102954379,15040.9294355596,15568.0827376865,15154.6732573045,15449.8452529337,15117.8429754403,15360.3100905681,18465.0153503287
"2","Albania",1290.00839320138,1290.63366055578,1261.89651337223,1092.17724712728,1172.06766765118,1260.10256542722,1258.96537545442,1227.28716504788,1151.68387748727,1191.26161582025,1199.21774885752,1236.1682180212,1237.24889564523,1292.39117638842,1315.53566404705,1327.07413087621,1343.38226968287,1408.99494970932,1394.30286726285,1426.93979889774,1505.63337181226
"3","Algeria",10554.2265056812,11334.0269724522,10947.2499195828,10534.5209537942,10782.3890238641,10595.2729777272,10661.4394408489,10880.8134571261,10822.0564771579,11138.3051575747,11173.8580961642,10626.6179645678,11098.7712444469,11217.6702448769,11735.3097183156,11393.6250697875,12215.6187166169,13081.0913116539,13216.7136953225,13556.8196025299,12883.0183725251
"4","Angola",5653.02329989661,5030.89066288711,5229.53179654877,5635.54606169317,5431.95523637337,5237.43442317979,5405.45380867289,5574.33017579191,5038.82860152747,5375.09209891483,5404.86987657838,5447.76779701861,5702.84822866097,5661.64508747124,5732.87868134248,5748.22681890394,5304.09634480433,5665.45278707356,5712.47838253473,5402.24020450544,5619.45456350945
"5","Antigua and Barbuda",12.3636944944484,11.1778271019556,16.282879695238,14.2601832084614,12.7179429489563,5.2111927639516,4.08250585058597,6.65200866357307,4.19990688005572,18.2703665990813,6.11787913095261,5.35778354248015,13.2662592174209,5.53745270756511,14.8975046052215,11.8064064965911,5.87162976977666,20.1318839340115,15.675655245371,10.4477400342752,4.59710773439854
"6","Argentina",10352.0985530641,11251.5953333217,10402.5633876435,10738.1035609413,10842.3275647473,11012.7429455604,9379.56064911145,9068.87920303485,9854.03832152045,11473.4955199788,10166.0007835808,11482.682848371,10977.7314019001,11863.9714508135,10583.4523058886,11397.1262357906,10100.3221758323,10871.4295444513,11589.3809599648,11261.2952081367,11373.7603026875
"7","Armenia",2073.72668297369,2090.33413273378,2026.62814880877,2104.82981179945,2144.35353012605,2256.57286259911,2218.77687004903,2241.21684707251,2277.35224754774,2229.16662498057,2439.11455015816,2367.16237593458,2368.834268615,2275.58095875372,2203.70596815999,2104.57810023981,2151.51598236622,2211.6081984313,2077.6990241649,2109.37719511632,2155.47006040448
"8","Australia",3508.53399480176,3860.34573875773,3411.9156780658,3619.43113601268,4178.20875309028,4493.53813109813,2479.6739230327,2556.81657285489,3746.71132314719,2996.72441209471,2474.25097964033,3716.69833209297,2058.90921444755,2569.02735984687,2812.50514114396,3188.10978275065,2992.36366205587,2501.60387484147,3199.8353241937,3005.34228345538,3133.88082875656
"9","Austria",4967.18358834433,4746.27132532263,4606.80484464416,4350.54401259435,4435.02698268344,4320.05189899683,3977.75579993354,4204.13853609093,4157.80899060006,3601.36601122281,3661.47353358859,4058.74810870179,3836.49642555388,3880.96085422278,3795.12381101015,3936.09310499056,3635.10618324658,3759.70809391366,3750.78866642957,3376.22127628855,3718.0230254369
"10","Azerbaijan",5267.66455661757,5120.65665861779,5069.18790961761,4815.48421228743,4915.24164562262,5180.47552369026,4940.56789012491,5312.35577472662,5499.04494302405,5409.39446645755,6195.85985780648,6154.23721217335,6278.53796540395,6000.28613006672,6276.65077572271,6444.30627951239,6731.1330931192,6636.48615304601,6455.40877173272,6904.63287749737,6372.91225765896
