"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"33","China","1695.69","1834.76","1979.43","2143.12","2329.9","2550.58","2790.35","3095.2","3479.92","3978.33","4369.39","4760.92","5240.3","5708.95","6189.26","6658.49","7167.3","7710.28","8229.06","8826.82","9407.71"
"34","Colombia","187.09","179.8","184.92","188.99","193.4","200.81","211.88","221.93","236.93","253.19","261.3","264.34","275.17","295.62","307.5","321.25","336.25","346.19","352.45","357.25","365.07"
"35","Comoros","0.62","0.63","0.7","0.72","0.73","0.75","0.76","0.78","0.8","0.81","0.84","0.87","0.9","0.94","0.97","1.01","1.03","1.04","1.08","1.12","1.15"
"36","Congo","6.83","6.68","7.18","7.5","7.9","7.95","8.22","8.85","9.42","9.28","9.77","10.5","11.41","11.83","12.29","12.65","13.54","13.9","13.51","13.1","13.18"
"37","Costa Rica","22.16","23.15","24.03","24.85","25.72","26.79","28","29.01","31.11","33.63","35.22","34.84","36.55","38.09","39.87","40.76","42.2","43.64","45.43","46.97","48.29"
"38","Croatia","40.49","40.17","41.76","43.43","45.15","47.62","50.08","51.71","54.38","57.61","58.73","54.2","53.68","53.29","52.48","52.25","52.4","53.17","55.65","57.6","58.52"
"39","Cuba","32.57","34.7","36.67","37.84","38.59","40.05","42.5","47.24","52.94","56.66","59.11","59.57","61.37","63","64.6","66.42","66.97","69.72","70.53","72.12","73.12"
"40","Cyprus","14.51","15.36","16.39","17.11","17.86","18.39","19.41","20.41","21.11","22.46","23.24","22.96","23.41","23.6","22.83","21.32","20.8","21.45","23.08","24.1","25.18"
"41","Czech Republic","116.35","119.84","125.16","129.08","131.23","136.39","145.52","153.15","164.99","177.28","182.26","171.65","174.37","178.49","177.58","175.74","183.07","192.52","197.13","207.94","212.4"
"42","Democratic Republic of the Congo","14.73","14.18","13.18","12.96","13.35","14.1","15.04","15.99","16.88","17.91","19.02","19.58","20.98","22.41","23.98","26","28.48","30.51","31.31","32.55","34.42"
"43","Denmark","245.03","255.04","266.17","273.23","271.38","271.41","284.48","291.01","300.89","305.86","309.19","292","295.18","299.71","306.07","308.94","311.19","321.99","333.41","337.85","343.39"
"44","Dominican Republic","29.95","31.7","33.12","33.99","35.42","34.98","35.97","39.15","42.73","45.77","47.38","47.82","51.75","53.48","54.59","57.21","61.1","65.09","69.52","72.91","78.17"
"45","Ecuador","46.7","44.63","45.08","46.9","48.7","50.02","53.99","56.76","59.25","60.42","64.3","64.53","66.58","71.99","75.92","79.62","82.49","82.57","81.45","83.48","84.67"
"46","Egypt","112.67","119.51","127.45","131.64","134.48","138.37","144.02","150.22","160.09","171.48","184.18","192.21","201.99","205.68","209.71","214.55","220.78","229.79","240.11","250.3","262.57"
"47","El Salvador","14.58","15.01","15.16","15.35","15.62","15.82","16","16.37","17.09","17.34","17.83","17.42","17.84","18.42","18.99","19.37","19.7","20.11","20.64","21.13","21.58"
"48","Equatorial Guinea","2.09","2.67","3.16","5.22","6.28","7.17","9.9","11.6","12.57","14.46","17.04","17.35","15.74","16.76","18.24","17.49","17.57","15.91","14.51","13.84","12.99"
"49","Eritrea","1.93","1.93","1.87","2.04","2.1","2.05","2.08","2.13","2.12","2.15","1.94","2.02","2.06","2.24","NA","NA","NA","NA","NA","NA","NA"
"50","Estonia","10.5","10.53","11.81","12.57","13.33","14.47","15.68","16.98","18.5","20.32","19.51","16.66","16.96","18.64","19.37","19.66","20.05","21.05","21.4","23.03","23.28"
"51","Eswatini","2.9","2.97","2.99","3.03","3.17","3.3","3.41","3.6","3.81","3.98","3.99","4.06","4.21","4.33","4.56","4.76","4.81","4.92","5","5.08","5.2"
"52","Ethiopia","11.4","12.02","12.74","13.75","13.98","13.69","15.57","17.43","19.32","21.53","23.84","25.97","29.27","32.51","35.32","39.05","43.05","47.51","51.97","56.91","60.8"
"53","Fiji","2.49","2.71","2.66","2.7","2.79","2.8","2.94","2.96","3.02","3","3.03","3.01","3.1","3.17","3.2","3.35","3.57","3.74","3.83","4.04","4.18"
"54","Finland","173.36","180.92","193.45","199.89","203.72","207.77","217.47","223.73","230.7","246.94","249.15","227.95","234.29","241.82","239.24","237.56","234.12","239.57","245.09","256.86","255.12"
"55","France","1999.98","2073.55","2170.32","2216.94","2249.62","2257.54","2344.72","2386.65","2439.85","2508.34","2516.45","2433.47","2487.02","2545.87","2554.32","2564.49","2613.04","2631.3","2661.04","2730.4","2769.5"
"56","Gabon","12.97","11.9","11.62","11.93","11.91","12.14","12.25","12.62","12.33","13.08","12.58","12.64","13.51","14.48","15.29","16.11","16.86","17.44","17.78","17.92","18.08"
"57","Georgia","4.26","4.3","4.29","4.49","4.55","4.76","4.84","5.05","5.47","6.59","6.6","6.18","6.02","6.57","7.12","7.45","7.42","7.53","7.62","7.37","7.65"
"58","Germany","2591.93","2673.1","2772.79","2836.8","2823.09","2808.21","2872.58","2898.72","3003.64","3117.35","3140","2947.9","3053.62","3190.43","3214.05","3215.66","3313.85","3358.17","3440","3542.89","3591.13"
"59","Ghana","16.11","16.87","17.44","18.22","18.94","19.98","21","22.29","23.73","24.65","26.95","28.34","30.54","34.78","37.97","40.86","42.09","42.73","44.24","47.77","50.87"
"60","Greece","204.65","210.45","218.9","229.55","238.14","252.77","267.71","269.41","285.01","293.56","291.43","279.36","263.9","237.96","220.76","213.64","215.9","214.45","213.7","217.86","219.41"
"61","Greenland","1.67","1.69","1.81","1.83","1.81","1.89","2.01","2.11","2.22","2.28","2.42","2.44","2.48","2.47","2.51","2.47","2.59","2.52","2.64","2.65","2.74"
"62","Grenada","0.56","0.6","0.63","0.61","0.64","0.7","0.7","0.79","0.76","0.79","0.82","0.76","0.75","0.76","0.74","0.76","0.82","0.85","0.88","0.93","0.99"
"63","Guatemala","26.08","27.55","28.39","29.28","30.48","31.22","32.38","33.3","35.12","37.31","38.63","38.69","39.88","41.41","42.66","44.12","45.9","47.75","49.23","50.68","52.19"
"64","Guinea","4.41","4.6","4.71","4.93","5.18","5.26","5.34","5.53","5.62","5.97","6.22","6.19","6.48","6.84","7.25","7.56","7.82","8.08","8.98","9.92","10.55"
"65","Guinea-Bissau","0.59","0.59","0.62","0.64","0.63","0.64","0.66","0.69","0.7","0.72","0.75","0.77","0.81","0.87","0.86","0.89","0.9","0.95","1.01","1.07","1.11"
"66","Guyana","1.66","1.72","1.69","1.74","1.76","1.75","1.78","1.74","1.83","1.94","1.99","2.07","2.15","2.26","2.34","2.46","2.56","2.62","2.71","2.77","2.88"
"67","Haiti","5.98","6.15","6.18","6.13","6.12","6.13","5.93","6.02","6.15","6.33","6.4","6.61","6.41","6.77","6.95","7.24","7.42","7.49","7.61","7.7","7.8"
"68","Honduras","9.57","9.55","10.24","10.51","10.9","11.37","12.1","12.8","13.69","14.47","15.1","14.71","15.29","15.77","16.41","16.84","17.37","18","18.73","19.69","20.41"
"69","Hungary","85.12","87.89","92.87","97.53","101.39","105.57","111.76","115.15","120.04","121.69","123.61","114.24","114.52","116.92","116.35","119.18","124.61","128.3","132.49","138.05","144.55"
"70","Iceland","9.52","9.91","10.41","10.83","10.85","11.11","12","12.82","13.5","14.77","15.03","13.98","13.53","13.77","13.95","14.51","14.81","15.5","16.65","17.35","18.18"
"71","India","713.55","777.08","805.55","843.9","874.71","945.48","1021.24","1103.11","1189.51","1275.64","1309.32","1409.59","1531.18","1604.77","1684.5","1793.32","1923.16","2080.82","2246.36","2411.76","2559.87"
