"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"32","Chile","363.12","377.13","347.22","359.17","359.91","359.43","381.9","407.1","421.15","455.72","472.28","491.96","516.62","577.48","566.51","587.71","574.66","612.44","644.62","643.48","652.61"
"33","China","167.75","172.49","194.6","210.69","235.48","267.71","306.9","349.98","399.19","451.3","487.21","544.49","619.41","699.03","728.03","789.36","826.41","845.58","898.66","923.96","980.49"
"34","Colombia","212.17","184.95","190.85","166.71","175.97","184","182.54","186.44","196.84","206.72","213.01","215.02","235.58","245.4","244.71","258.6","271.36","276.19","297.77","297.79","353.27"
"35","Comoros","0","0","0","0","0","0","0","0","0","16.14","15.88","15.62","15.38","15.14","14.92","14.71","14.5","14.3","14.11","13.92","14.16"
"36","Congo","149.44","132.69","141.81","128.82","113.4","116.1","118.54","123.48","125.37","116.71","126.12","132.53","140.98","135.03","136.24","150.76","149.54","152.69","145.37","136.37","141.63"
"37","Costa Rica","132.91","106.75","109.85","115.56","106.44","114.82","106.21","126.52","134.66","149.68","148.2","153.67","163.67","175.81","194.45","199.51","204.5","229.05","253.27","260.01","247.63"
"38","Croatia","1107.85","1105.54","1089.73","1073.01","1248.79","1343.4","1298.7","1480.41","1540.36","1545.48","1552.53","1490.35","1404.46","1455.97","1337.62","1320.26","1275.3","1428.3","1337.88","1335.52","1514.52"
"39","Cuba","165.64","164.08","181.06","185.73","169.45","176.05","173.27","195.07","218.78","245.22","246.34","284.08","257.96","273.74","307.88","313.27","329.24","363.7","325.54","305.01","366.2"
"40","Cyprus","2404.41","2354.61","2325.44","2294.38","2219.46","2165.47","2141.63","2136.74","2441.31","2258.89","2325.11","2068.51","2070.84","1958.67","1808.27","1673.27","1719.06","1790.45","1741.39","1781.99","1722.59"
"41","Czech Republic","2662.97","2524.15","2611.56","2659.66","2699.36","2750.85","2644.07","2992.07","3057.73","2922.62","2967.4","2992.04","3162.28","3113","3032.83","3105.93","2943.78","3120.85","3201.54","3128.56","3366.64"
"42","Democratic Republic of the Congo","12.66","10.27","9.59","7.97","7.94","8.09","8.39","8.16","7.75","8.51","8.75","8.5","8.86","9.34","9.93","10.62","11.13","10.83","9.91","9.15","9.13"
"43","Denmark","6462.74","6104.62","6013.16","5132.23","5722.55","5920.11","4977.65","5099.64","5557.88","5177.1","4234.84","4376.91","4848.4","4786.13","3757.04","3771.49","4300.69","3759.92","3687.4","4151.93","4660.97"
"44","Dominican Republic","120.57","127.94","138.58","134.15","148.98","141.36","132.95","165.83","181.09","205.66","195.35","195.6","216.35","210.28","247.53","262.07","292.01","332.96","341.19","339.66","338.32"
"45","Ecuador","130.73","109.77","111.49","113.15","124.09","125.57","143.46","155.56","159.98","169.2","173.89","181.74","199.92","200.28","216.93","226.81","241.46","237.75","237.83","233.73","226.32"
"46","Egypt","127.9","132.56","133.04","139.42","144.16","151.16","154.21","160.82","173.51","181.34","184.72","196.25","203.35","201","207.33","204.26","205.72","217.03","218.44","221.9","241.86"
"47","El Salvador","106.84","88.63","93.21","82.4","78.61","86.83","81.48","94.84","98.03","109.69","104.47","109.34","102.4","122.23","116.88","126.53","127.81","142.32","140.19","141.29","154.2"
"48","Equatorial Guinea","302.6","288.86","321.49","423.29","403.46","437.66","556.5","579.32","507.08","583.66","653.05","554.66","531.61","556.5","507.95","462.91","437.56","429.92","384.44","342","311.95"
"49","Eritrea","23.49","20.44","20","19.03","17.47","13.9","15.82","15.41","12.91","12.52","12.13","11.83","11.56","13.24",NA,NA,NA,NA,NA,NA,NA
"50","Estonia","1647.25","1596.87","1607.27","1669.83","1858.46","1919.85","1887.54","2215.29","2546.06","2439.77","2157.94","1872.06","2041.87","1889.24","1842.3","1855.57","2057.54","1619.35","1817.58","1620.33","2344.41"
"51","Eswatini","79.42","111.83","150.17","138.35","136.9","135.73","144.42","172.35","181.12","189.93","208.18","207.45","216.15","196.62","214.36","194.62","193.4","192.01","172.28","197.64","195.65"
"52","Ethiopia","4.89","4.48","4.97","5.86","5.58","5.05","5.47","5.61","6.12","6.61","7.3","7.49","7.77","8.7","9.26","10","10.89","11.85","12.75","13.7","14.28"
"53","Fiji","24.78","36.91","36.65","48.52","48.17","59.78","83.1","82.51","81.95","69.78","69.35","45.96","45.69","56.79","90.37","89.88","55.89","55.61","55.36","55.13","55.08"
