"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"34","Colombia",8.16,7.24,7.6,6.75,7.24,7.69,7.75,8.04,8.62,9.19,9.61,9.84,10.93,11.54,11.66,12.48,13.26,13.66,14.9,15.07,16.81
"35","Comoros",0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"36","Congo",0.45,0.41,0.45,0.42,0.38,0.4,0.42,0.45,0.47,0.45,0.5,0.54,0.59,0.58,0.6,0.68,0.69,0.72,0.7,0.67,0.73
"37","Costa Rica",0.5,0.41,0.43,0.46,0.43,0.47,0.44,0.53,0.57,0.64,0.64,0.67,0.72,0.78,0.87,0.9,0.93,1.05,1.17,1.21,1.16
"38","Croatia",5.13,5.08,4.97,4.86,5.62,6.01,5.78,6.56,6.8,6.8,6.81,6.52,6.13,6.34,5.81,5.72,5.51,6.15,5.74,5.71,6.46
"39","Cuba",1.87,1.86,2.06,2.12,1.94,2.02,1.99,2.24,2.51,2.81,2.82,3.25,2.95,3.13,3.52,3.58,3.76,4.15,3.71,3.47,4.17
"40","Cyprus",2.13,2.12,2.13,2.14,2.11,2.1,2.12,2.16,2.52,2.38,2.5,2.27,2.32,2.24,2.11,1.99,2.08,2.2,2.17,2.25,2.23
"41","Czech Republic",27.22,25.79,26.68,27.18,27.61,28.17,27.12,30.76,31.53,30.25,30.84,31.22,33.11,32.68,31.9,32.72,31.06,32.98,33.88,33.14,35.8
"42","Democratic Republic of the Congo",0.6,0.5,0.48,0.41,0.42,0.44,0.47,0.47,0.46,0.52,0.55,0.55,0.59,0.64,0.7,0.77,0.83,0.83,0.78,0.74,0.78
"43","Denmark",34.19,32.42,32.05,27.45,30.7,31.85,26.86,27.61,30.2,28.24,23.2,24.09,26.81,26.59,20.97,21.15,24.24,21.31,21.02,23.8,26.91
"44","Dominican Republic",1.01,1.09,1.2,1.18,1.33,1.28,1.22,1.54,1.7,1.95,1.87,1.89,2.11,2.07,2.46,2.63,2.96,3.41,3.53,3.55,3.64
"45","Ecuador",1.55,1.33,1.38,1.43,1.6,1.65,1.92,2.12,2.22,2.39,2.5,2.66,2.98,3.04,3.35,3.56,3.85,3.85,3.91,3.9,3.92
"46","Egypt",8.2,8.68,8.9,9.53,10.07,10.79,11.25,11.99,13.22,14.12,14.7,15.96,16.9,17.07,18,18.14,18.69,20.15,20.69,21.41,23.58
"47","El Salvador",0.61,0.51,0.54,0.48,0.46,0.51,0.48,0.56,0.58,0.65,0.62,0.65,0.61,0.73,0.7,0.76,0.77,0.86,0.85,0.86,0.96
"48","Equatorial Guinea",0.18,0.18,0.21,0.29,0.29,0.33,0.44,0.48,0.44,0.53,0.62,0.55,0.55,0.6,0.57,0.54,0.53,0.54,0.5,0.46,0.43
"49","Eritrea",0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,NA,NA,NA,NA,NA,NA,NA
