"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"34","Colombia","6.285","5.568","5.824","4.964","5.49","5.921","5.938","6.122","6.703","7.174","7.543","7.624","8.616","8.981","9.04","9.616","10.26","10.604","11.443","11.633","13.148"
"35","Comoros","0.002","0","0.002","0.002","0.002","0.002","0.001","0.001","0.001","0.002","0.001","0.001","0.001","0.002","0.002","0.002","0.001","0.002","0.003","0.001","0.003"
"36","Congo","0.339","0.29","0.32","0.287","0.297","0.289","0.305","0.313","0.311","0.311","0.348","0.368","0.405","0.408","0.419","0.456","0.47","0.49","0.47","0.429","0.444"
"37","Costa Rica","0.357","0.264","0.283","0.301","0.26","0.284","0.252","0.33","0.347","0.387","0.385","0.425","0.469","0.518","0.596","0.613","0.629","0.755","0.834","0.868","0.799"
"38","Croatia","4.581","4.513","4.407","4.257","4.972","5.31","5.053","5.809","6.03","5.956","5.991","5.757","5.385","5.593","5.112","5.027","4.823","5.437","5","4.935","5.673"
"39","Cuba","1.1","1.058","1.233","1.307","1.152","1.23","1.207","1.412","1.653","1.907","1.923","2.212","1.778","2.03","2.373","2.447","2.606","2.962","2.657","2.388","3.047"
"40","Cyprus","1.957","1.929","1.929","1.94","1.898","1.865","1.877","1.909","2.266","2.107","2.221","1.985","2.043","1.967","1.854","1.758","1.843","1.951","1.886","1.946","1.928"
"41","Czech Republic","23.733","22.436","22.931","23.357","23.863","24.219","23.059","26.746","27.4","25.951","26.628","27.202","28.907","28.49","27.776","28.687","27.038","28.849","29.598","28.733","31.29"
"42","Democratic Republic of the Congo","0.529","0.429","0.42","0.354","0.356","0.364","0.401","0.393","0.378","0.423","0.451","0.454","0.484","0.514","0.575","0.605","0.618","0.685","0.664","0.622","0.664"
"43","Denmark","32.501","30.779","30.504","25.822","29.057","30.009","25.16","25.987","28.287","26.45","21.481","22.414","25.105","25.027","19.561","19.647","22.869","19.999","19.636","22.483","25.563"
"44","Dominican Republic","0.526","0.564","0.632","0.603","0.633","0.686","0.656","0.923","1.026","1.25","1.165","1.201","1.361","1.309","1.66","1.781","2.119","2.506","2.562","2.569","2.615"
"45","Ecuador","0.874","0.755","0.751","0.747","0.899","0.936","1.111","1.22","1.251","1.377","1.448","1.489","1.662","1.674","1.903","2.023","2.149","2.154","2.212","2.212","2.111"
"46","Egypt","4.93","5.083","5.291","5.46","5.805","6.358","6.343","6.417","7.169","7.514","7.939","8.783","9.522","9.27","9.613","9.733","9.956","11.015","11.145","11.485","13.387"
"47","El Salvador","0.452","0.342","0.37","0.297","0.272","0.312","0.273","0.342","0.338","0.398","0.385","0.412","0.375","0.482","0.442","0.505","0.513","0.573","0.552","0.551","0.641"
"48","Equatorial Guinea","0.114","0.112","0.14","0.191","0.214","0.235","0.335","0.37","0.33","0.407","0.465","0.412","0.403","0.437","0.437","0.409","0.403","0.407","0.368","0.328","0.3"
"49","Eritrea","0.053","0.05","0.051","0.048","0.048","0.044","0.044","0.047","0.042","0.042","0.039","0.041","0.042","0.046",NA,NA,NA,NA,NA,NA,NA
"50","Estonia","1.809","1.753","1.749","1.803","2.076","2.064","1.985","2.392","2.84","2.543","2.189","1.892","1.952","1.749","1.702","1.599","1.853","1.374","1.552","1.208","2.089"
"51","Eswatini","0.067","0.087","0.1","0.088","0.092","0.094","0.111","0.128","0.136","0.133","0.149","0.145","0.161","0.15","0.162","0.166","0.162","0.166","0.145","0.167","0.173"
"52","Ethiopia","0.225","0.211","0.232","0.272","0.254","0.216","0.234","0.265","0.293","0.321","0.36","0.379","0.428","0.49","0.512","0.549","0.565","0.644","0.686","0.751","0.812"
"53","Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Finland","14.403","15.129","14.029","12.837","12.568","12.596","11.861","12.384","14.588","11.483","11.554","11.598","12.598","11.643","10.826","10.156","12.802","8.844","9.746","5.873","11.896"
"55","France","159.84","160.499","151.66","150.978","145.277","156.796","138.024","137.264","146.279","140.758","139.426","145.992","142.379","142.295","142.015","147.172","125.758","137.587","138.04","131.708","142.249"
"56","Gabon","0.802","0.637","0.67","0.62","0.61","0.642","0.634","0.615","0.545","0.591","0.625","0.579","0.64","0.685","0.679","0.757","0.737","0.838","0.872","0.819","0.82"
"57","Georgia","1.948","2.099","2.216","2.375","2.709","3.302","3.679","4.272","4.731","4.876","5.169","5.123","6.002","6.316","6.578","6.743","7.355","7.663","8.022","9.002","9.527"
"58","Germany","357.37","332.907","320.543","308.517","315.892","307.616","280.616","277.541","293.761","279.767","289.229","285.922","314.295","311.166","301.38","313.699","295.645","313.799","313.798","303.675","315.504"
"59","Ghana","0.672","0.632","0.745","0.677","0.774","0.784","0.944","0.945","0.962","1.101","1.205","1.139","1.225","1.465","1.588","1.571","1.584","1.867","1.931","2.07","2.105"
"60","Greece","27.686","29.043","29.823","29.453","31.082","32.044","31.628","31.608","33.19","34.977","36.068","34.035","32.327","30.972","28.416","27.586","27.191","27.551","27.887","27.148","30.371"
"61","Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Grenada","0.014","0.014","0.018","0.016","0.014","0.011","0.005","0.009","0.006","0.031","0.007","0.013","0.02","0.008","0.023","0.017","0.018","0.042","0.036","0.034","0.01"
"63","Guatemala","1.347","0.933","1.097","0.881","0.835","0.894","0.739","0.877","0.904","0.982","0.956","1.087","1.055","1.222","1.242","1.346","1.315","1.478","1.483","1.431","1.474"
"64","Guinea","0.303","0.295","0.305","0.274","0.29","0.283","0.324","0.31","0.292","0.345","0.348","0.302","0.326","0.336","0.351","0.325","0.347","0.398","0.421","0.452","0.464"
"65","Guinea-Bissau","0.028","0.026","0.028","0.026","0.026","0.025","0.026","0.025","0.025","0.029","0.029","0.027","0.028","0.03","0.029","0.026","0.027","0.031","0.032","0.034","0.035"
"66","Guyana","0.085","0.08","0.083","0.071","0.07","0.074","0.071","0.073","0.081","0.102","0.091","0.089","0.1","0.099","0.122","0.12","0.123","0.142","0.147","0.147","0.149"
"67","Haiti","0.153","0.15","0.165","0.144","0.132","0.144","0.112","0.135","0.137","0.157","0.146","0.145","0.131","0.131","0.16","0.164","0.172","0.18","0.164","0.157","0.172"
"68","Honduras","0.224","0.161","0.184","0.172","0.176","0.197","0.166","0.219","0.212","0.248","0.263","0.283","0.271","0.358","0.383","0.429","0.417","0.46","0.456","0.421","0.446"
"69","Hungary","12.429","12.656","12.313","11.938","13.346","13.807","13.479","15.438","15.861","14.555","14.095","14.285","14.805","14.792","13.49","13.324","13.48","15.027","13.926","14.637","15.956"
"70","Iceland","0.056","0.056","0.041","0.028","0.073","0.063","0.075","0.03","0.025","0.019","0.047","0.059","0.029","0.042","0.036","0.052","0.058","0.037","0.032","0.096","0.072"
"71","India","34.757","37.175","39.502","42.259","44.527","47.073","49.11","52.488","59.028","67.256","72.624","77.984","83.477","93.08","103.262","110.392","118.387","126.385","143.307","151.047","175.072"
"72","Indonesia","17.653","17.978","18.891","19.755","20.53","20.687","23.152","24.69","27.86","29.123","31.936","33.509","38.336","41.086","45.022","47.689","52.809","58.101","60.838","63.3","66.634"
"73","Iran","9.081","9.322","9.795","9.734","10.663","12.121","12.088","12.598","13.447","14.806","15.664","15.963","16.444","17.243","15.522","15.557","16.522","17.074","19.878","20.777","19.921"
"74","Iraq","2.619","3.252","3.426","3.181","2.901","1.813","2.886","3.204","3.66","3.845","4.476","4.602","4.791","5.005","5.687","5.885","5.646","6.253","7.225","7.179","7.339"
"75","Ireland","10.695","10.63","10.855","9.497","9.753","12.214","7.624","9.121","9.086","9.38","8.066","7.775","6.73","7.09","6.767","6.82","7.47","8.088","8.181","8.364","9.921"
"76","Israel","11.106","10.914","11.84","11.585","11.485","11.575","11.438","11.27","11.845","12.199","12.057","11.68","12.203","12.832","12.577","13.441","13.519","14.276","13.363","14.334","15.73"
"77","Italy","228.591","230.939","226.799","204.535","213.946","214.936","200.691","197.524","196.9","192.926","193.051","192.728","181.663","191.092","178.59","174.137","173.209","181.723","174.409","170.321","189.294"
"78","Jamaica","0.336","0.373","0.4","0.39","0.383","0.424","0.378","0.399","0.42","0.496","0.517","0.485","0.428","0.419","0.442","0.444","0.512","0.524","0.493","0.508","0.561"
"79","Japan","348.536","317.182","377.374","359.939","337.778","358.087","340.35","377.435","393.34","386.479","402.945","370.528","373.797","378.646","390.001","392.421","399.156","384.09","370.092","414.887","442.681"
"80","Jordan","0.287","0.279","0.303","0.342","0.374","0.399","0.42","0.438","0.458","0.462","0.467","0.475","0.482","0.496","0.485","0.491","0.494","0.528","0.509","0.55","0.585"
"81","Kazakhstan","4.429","4.576","5.135","6.015","6.75","7.203","7.961","8.612","10.116","10.764","11.01","9.969","10.965","11.677","12.419","13.203","12.926","12.446","12.43","12.959","12.861"
