"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"34","Colombia","1.87","1.67","1.77","1.79","1.75","1.77","1.81","1.92","1.92","2.01","2.07","2.22","2.32","2.56","2.62","2.87","3","3.05","3.46","3.44","3.66"
"35","Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"36","Congo","0.11","0.12","0.13","0.13","0.09","0.11","0.11","0.14","0.16","0.14","0.15","0.17","0.19","0.18","0.18","0.23","0.22","0.23","0.23","0.24","0.29"
"37","Costa Rica","0.14","0.14","0.15","0.16","0.17","0.18","0.19","0.2","0.22","0.25","0.25","0.25","0.25","0.27","0.27","0.29","0.3","0.29","0.33","0.34","0.36"
"38","Croatia","0.55","0.56","0.56","0.6","0.65","0.7","0.72","0.75","0.77","0.84","0.82","0.76","0.75","0.74","0.7","0.7","0.69","0.71","0.74","0.78","0.79"
"39","Cuba","0.77","0.8","0.83","0.81","0.79","0.79","0.79","0.83","0.86","0.91","0.89","1.04","1.18","1.1","1.15","1.13","1.15","1.19","1.06","1.08","1.12"
"40","Cyprus","0.18","0.19","0.2","0.2","0.21","0.24","0.24","0.25","0.26","0.27","0.28","0.28","0.28","0.27","0.26","0.23","0.24","0.24","0.28","0.3","0.3"
"41","Czech Republic","3.49","3.36","3.75","3.83","3.75","3.95","4.06","4.02","4.13","4.3","4.21","4.01","4.2","4.19","4.12","4.04","4.02","4.13","4.29","4.4","4.51"
"42","Democratic Republic of the Congo","0.07","0.07","0.06","0.06","0.06","0.07","0.07","0.08","0.09","0.1","0.1","0.1","0.11","0.12","0.12","0.17","0.22","0.15","0.12","0.12","0.12"
"43","Denmark","1.69","1.64","1.55","1.63","1.64","1.84","1.7","1.63","1.91","1.79","1.72","1.67","1.71","1.56","1.41","1.5","1.37","1.31","1.39","1.32","1.35"
"44","Dominican Republic","0.48","0.53","0.57","0.57","0.7","0.59","0.56","0.61","0.67","0.7","0.71","0.69","0.74","0.76","0.8","0.85","0.84","0.9","0.97","0.99","1.02"
"45","Ecuador","0.67","0.57","0.63","0.68","0.7","0.72","0.81","0.9","0.97","1.01","1.06","1.17","1.32","1.37","1.44","1.53","1.7","1.69","1.7","1.69","1.81"
"46","Egypt","3.27","3.6","3.61","4.07","4.26","4.44","4.91","5.58","6.05","6.61","6.76","7.18","7.37","7.8","8.39","8.4","8.74","9.13","9.55","9.93","10.19"
"47","El Salvador","0.16","0.16","0.17","0.18","0.19","0.2","0.21","0.22","0.24","0.25","0.23","0.23","0.23","0.25","0.26","0.25","0.26","0.28","0.3","0.31","0.32"
"48","Equatorial Guinea","0.06","0.07","0.07","0.1","0.08","0.09","0.1","0.11","0.11","0.12","0.15","0.13","0.15","0.17","0.13","0.13","0.13","0.13","0.13","0.13","0.13"
"49","Eritrea","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","NA","NA","NA","NA","NA","NA","NA"
"50","Estonia","0.5","0.47","0.49","0.51","0.5","0.57","0.6","0.62","0.6","0.73","0.7","0.61","0.77","0.76","0.74","0.85","0.85","0.76","0.84","0.92","0.99"
"51","Eswatini","0.03","0.03","0.05","0.05","0.05","0.04","0.04","0.05","0.05","0.07","0.07","0.07","0.07","0.06","0.06","0.04","0.04","0.04","0.05","0.05","0.05"
"52","Ethiopia","0.09","0.09","0.11","0.13","0.14","0.16","0.17","0.17","0.18","0.21","0.24","0.25","0.24","0.28","0.32","0.38","0.47","0.52","0.6","0.66","0.68"
