"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"33","China","NA","7.54","7.24","7.65","8.14","8.9","8.83","10.36","11.86","13.73","9.27","8.43","9.57","8.5","7.98","7.09","7.11","7.15","6.21","6.6","6.23"
"34","Colombia","NA","-5.58","1.1","0.52","0.71","2.21","3.87","3.12","5.13","5.27","1.7","-0.27","2.67","6","2.66","3.14","3.37","1.72","0.63","0.23","8.68"
"35","Comoros","NA","-0.05","9.28","1.16","-0.29","1.03","-0.37","0.9","0.86","-0.41","2.02","1.92","1.82","2.84","1.67","2.64","0.55","-0.42","2.44","2.32","4.45"
"36","Congo","NA","-4.69","4.66","1.67","2.48","-2.12","0.54","4.67","3.47","-4.22","2.39","4.57","5.79","1.02","1.32","0.5","4.63","0.45","-4.82","-4.96","-4.1"
"37","Costa Rica","NA","2.32","1.85","1.69","1.99","2.8","3.27","2.46","6.13","7.02","3.69","-2.02","3.98","3.33","3.8","1.4","2.7","2.59","3.3","2.63","2.14"
"38","Croatia","NA","-0.02","4.74","4.72","4.63","6.1","5.71","3.71","5.56","6.29","2.26","-7.47","-0.73","-0.49","-1.27","-0.18","0.56","1.82","5.04","3.86","1.84"
"39","Cuba","NA","6.1","5.29","2.85","1.68","3.56","6.01","11.17","12.17","7.16","4.43","0.84","3.06","2.67","2.55","2.86","0.9","4.2","1.29","2.43","1.29"
"40","Cyprus","NA","4.15","4.89","2.52","2.41","0.94","3.4","2.97","1.29","4.24","1.39","-3.2","-0.13","-1.24","-5.19","-8.38","-4.11","1.55","6.1","3.05","1.9"
"41","Czech Republic","NA","3.04","4.45","3.1","1.58","3.81","6.52","5","7.41","7.05","2.39","-6.2","1.24","2.09","-0.7","-1.19","4.01","5","2.25","5.38","1.75"
"42","Democratic Republic of the Congo","NA","-6.31","-9.57","-4.36","0.17","2.69","3.67","3.29","2.54","3.06","3.16","0.01","4.11","3.8","4.01","5.43","6.54","4.23","-0.12","1.21","0.08"
